period,clock,was_score,con_score,description,team,event,x_loc,y_loc,field_goal_type,shot_type,shot_made,assisted,shooting_foul,distance_from_hoop,shot_angle
1,09:40,0,2,[CON 2-0] Williams Layup Shot: Made (2 PTS),con,field_goal_attempt,25,13,two_pointer,layup,1,1,0,2.817800560721074,27.474431626277134
1,09:25,0,2,[CON] Thomas Foul: Shooting (1 PF) (2 FTA),con,foul,-65,26,NA,NA,0,0,1,7.000714249274855,158.19859051364818
1,09:25,1,2,[WAS 1-2] Delle Donne Free Throw 1 of 2 (1 PTS),was,free_throw_attempt,0,-80,NA,NA,1,0,0,8,270
1,09:25,2,2,[WAS 2-2] Delle Donne Free Throw 2 of 2 (2 PTS),was,free_throw_attempt,0,-80,NA,NA,1,0,0,8,270
1,09:09,2,2,[CON] Stricklen Driving Layup Shot: Missed,con,field_goal_attempt,38,75,two_pointer,layup,0,0,0,8.407734534343957,63.13018691250093
1,09:07,2,2,[CON] Stricklen Rebound (Off:1 Def:0),con,rebound,38,75,NA,NA,0,0,0,8.407734534343957,63.13018691250093
1,09:06,2,2,[CON] Stricklen Layup Shot: Missed,con,field_goal_attempt,16,1,two_pointer,layup,0,0,0,1.6031219541881399,3.5763343749973515
1,09:06,2,2,[WAS] Atkins Rebound (Off:0 Def:1),was,rebound,16,1,NA,NA,0,0,0,1.6031219541881399,3.5763343749973515
1,08:47,2,2,[WAS] Atkins 3pt Shot: Missed,was,field_goal_attempt,143,221,three_pointer,jump,0,0,0,26.322993750711564,57.094757077012105
1,08:42,2,2,[CON] Jones Rebound (Off:0 Def:1),con,rebound,143,221,NA,NA,0,0,0,26.322993750711564,57.094757077012105
1,08:36,2,2,[CON] Williams Turnover : Bad Pass (1 TO) Steal:Sanders (1 ST),con,turnover,149,93,NA,NA,0,0,0,17.564168070250297,31.97080519205626
1,08:31,2,2,[WAS] Atkins Running Layup Shot: Missed,was,field_goal_attempt,-124,27,two_pointer,layup,0,0,0,12.690547663517126,167.71604455889283
1,08:29,2,2,[WAS] Cloud Rebound (Off:1 Def:0),was,rebound,-124,27,NA,NA,0,0,0,12.690547663517126,167.71604455889283
1,08:17,4,2,[WAS 4-2] Toliver Pullup Jump shot: Made (2 PTS) Assist: Delle Donne (1 AST),was,field_goal_attempt,-80,129,two_pointer,jump,1,1,0,15.17926216915697,121.80532892499696
1,08:01,4,4,[CON 4-4] Thomas Floating Jump shot: Made (2 PTS) Assist: Thomas (1 AST),con,field_goal_attempt,-69,146,two_pointer,jump,1,1,0,16.148374531202823,115.29554640032657
1,07:46,4,4,[WAS] Atkins Turnover : Bad Pass (1 TO) Steal:Thomas (1 ST),was,turnover,-33,64,NA,NA,0,0,0,7.200694410957877,117.2767633831137
1,07:41,4,6,[CON 6-4] Thomas Running Layup Shot: Made (4 PTS),con,field_goal_attempt,69,54,two_pointer,layup,1,1,0,8.76184911990614,38.04704253182609
1,07:18,4,6,[WAS] Delle Donne Turnaround Jump Shot: Missed,was,field_goal_attempt,-103,5,two_pointer,jump,0,0,0,10.312128781197412,177.22083313592793
1,07:14,4,6,[CON] Jones Rebound (Off:0 Def:2),con,rebound,-103,5,NA,NA,0,0,0,10.312128781197412,177.22083313592793
1,07:05,4,8,[CON 8-4] Jones Driving Layup Shot: Made (2 PTS),con,field_goal_attempt,15,35,two_pointer,layup,1,1,0,3.8078865529319543,66.80140948635182
